2025-07-02T15:32:48.187+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] e.s.ProductSpringBatchProjectApplication : Starting ProductSpringBatchProjectApplication using Java 21.0.6 with PID 34656 (D:\Workspace\STS\ProductSpringBatchProject\target\classes started by Lenovo in D:\Workspace\STS\ProductSpringBatchProject)
2025-07-02T15:32:48.188+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] e.s.ProductSpringBatchProjectApplication : No active profile set, falling back to 1 default profile: "default"
2025-07-02T15:32:48.218+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-07-02T15:32:48.517+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2025-07-02T15:32:48.533+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 10 ms. Found 0 JDBC repository interfaces.
2025-07-02T15:32:49.735+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 32.0 originalPrice: 3400.0 discount: 1088.0 finalPrice: 2312.0
2025-07-02T15:32:49.735+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 32
2025-07-02T15:32:49.735+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 33.0 originalPrice: 3500.0 discount: 1155.0 finalPrice: 2345.0
2025-07-02T15:32:49.735+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 33
2025-07-02T15:32:49.735+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 34.0 originalPrice: 3600.0 discount: 1224.0 finalPrice: 2376.0
2025-07-02T15:32:49.735+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 34
2025-07-02T15:32:49.735+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 35.0 originalPrice: 3700.0 discount: 1295.0 finalPrice: 2405.0
2025-07-02T15:32:49.735+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 35
2025-07-02T15:32:49.736+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 36.0 originalPrice: 3800.0 discount: 1368.0 finalPrice: 2432.0
2025-07-02T15:32:49.744+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 36
2025-07-02T15:32:49.744+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 36.0 originalPrice: 3800.0 discount: 1368.0 finalPrice: 2432.0
2025-07-02T15:32:49.744+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 37
2025-07-02T15:32:49.744+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 35.0 originalPrice: 3700.0 discount: 1295.0 finalPrice: 2405.0
2025-07-02T15:32:49.744+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 38
2025-07-02T15:32:49.745+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 36.0 originalPrice: 3800.0 discount: 1368.0 finalPrice: 2432.0
2025-07-02T15:32:49.745+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 39
2025-07-02T15:32:49.745+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 36.0 originalPrice: 3800.0 discount: 1368.0 finalPrice: 2432.0
2025-07-02T15:32:49.753+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] o.s.batch.core.step.AbstractStep         : Step: [jobStep] executed in 114ms
2025-07-02T15:32:49.760+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] c.e.s.c.JobCompletationNotificationImpl  : Job Ended
2025-07-02T15:32:49.767+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] o.s.b.c.l.s.TaskExecutorJobLauncher      : Job: [SimpleJob: [name=job]] completed with the following parameters: [{}] and the following status: [COMPLETED] in 144ms
2025-07-02T15:32:49.773+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2025-07-02T15:32:49.780+05:30  INFO 34656 --- [ProductSpringBatchProject] [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
