2025-07-02T15:01:59.407+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] e.s.ProductSpringBatchProjectApplication : Starting ProductSpringBatchProjectApplication using Java 21.0.6 with PID 33716 (D:\Workspace\STS\ProductSpringBatchProject\target\classes started by Lenovo in D:\Workspace\STS\ProductSpringBatchProject)
2025-07-02T15:01:59.409+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] e.s.ProductSpringBatchProjectApplication : No active profile set, falling back to 1 default profile: "default"
2025-07-02T15:01:59.488+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-07-02T15:02:00.190+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2025-07-02T15:02:00.219+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 19 ms. Found 0 JDBC repository interfaces.
2025-07-02T15:02:02.871+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 35.0 originalPrice: 3700.0 discount: 1295.0 finalPrice: 2405.0
2025-07-02T15:02:02.871+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 35
2025-07-02T15:02:02.871+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 36.0 originalPrice: 3800.0 discount: 1368.0 finalPrice: 2432.0
2025-07-02T15:02:02.891+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : item id: 36
2025-07-02T15:02:02.892+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] c.e.s.config.CustomItemProcessor         : discountPer: 36.0 originalPrice: 3800.0 discount: 1368.0 finalPrice: 2432.0
2025-07-02T15:02:02.906+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] o.s.batch.core.step.AbstractStep         : Step: [jobStep] executed in 255ms
2025-07-02T15:02:02.927+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] c.e.s.c.JobCompletationNotificationImpl  : Job Ended
2025-07-02T15:02:02.937+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] o.s.b.c.l.s.TaskExecutorJobLauncher      : Job: [SimpleJob: [name=job]] completed with the following parameters: [{}] and the following status: [COMPLETED] in 328ms
2025-07-02T15:02:02.948+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2025-07-02T15:02:02.961+05:30  INFO 33716 --- [ProductSpringBatchProject] [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
